Node,CST,Tx power,IP address,x,y,z
12,-82,0,10.1.7.1,42.625,19.4146,1.5
13,-82,0,10.1.7.2,44.7073,21.5742,1.5
14,-82,0,10.1.8.1,18.1669,9.16042,1.5
15,-82,0,10.1.8.2,19.1739,6.3345,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,7.7569,28.6993,1.5
1,-82,0,10.1.1.2,5.18605,27.1531,1.5
2,-82,0,10.1.2.1,15.2759,12.3159,1.5
3,-82,0,10.1.2.2,14.2324,15.1286,1.5
4,-82,0,10.1.3.1,43.9919,39.3982,1.5
5,-82,0,10.1.3.2,41.9131,41.5613,1.5
6,-82,0,10.1.4.1,6.6964,15.7667,1.5
7,-82,0,10.1.4.2,3.89339,14.6975,1.5
8,-82,0,10.1.5.1,37.7434,32.9467,1.5
9,-82,0,10.1.5.2,35.0839,34.3349,1.5
10,-82,0,10.1.6.1,43.1614,8.47156,1.5
11,-82,0,10.1.6.2,40.1637,8.5892,1.5
12,-82,0,10.1.7.1,37.2706,4.43776,1.5
13,-82,0,10.1.7.2,38.334,1.63253,1.5
14,-82,0,10.1.8.1,44.2558,32.551,1.5
15,-82,0,10.1.8.2,42.1037,30.4609,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,19.4191,3.67389,1.5
1,-82,0,10.1.1.2,20.7417,0.981169,1.5
2,-82,0,10.1.2.1,34.6796,28.8227,1.5
3,-82,0,10.1.2.2,34.7113,25.8229,1.5
4,-82,0,10.1.3.1,9.99898,12.0603,1.5
5,-82,0,10.1.3.2,10.6754,14.9831,1.5
6,-82,0,10.1.4.1,43.1245,13.3032,1.5
7,-82,0,10.1.4.2,43.7995,16.2263,1.5
8,-82,0,10.1.5.1,44.4139,23.7917,1.5
9,-82,0,10.1.5.2,44.2037,20.7991,1.5
10,-82,0,10.1.6.1,29.2157,24.0943,1.5
11,-82,0,10.1.6.2,28.3012,21.237,1.5
12,-82,0,10.1.7.1,42.2012,22.2449,1.5
13,-82,0,10.1.7.2,41.5119,25.1647,1.5
14,-82,0,10.1.8.1,25.7542,34.2735,1.5
15,-82,0,10.1.8.2,24.0884,36.7686,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,28.4736,43.6441,1.5
1,-82,0,10.1.1.2,25.5651,44.3796,1.5
2,-82,0,10.1.2.1,12.9905,38.2032,1.5
3,-82,0,10.1.2.2,11.5279,35.5839,1.5
4,-82,0,10.1.3.1,27.1047,17.1081,1.5
5,-82,0,10.1.3.2,28.9793,19.4503,1.5
6,-82,0,10.1.4.1,29.4633,29.9636,1.5
7,-82,0,10.1.4.2,32.4487,29.6678,1.5
8,-82,0,10.1.5.1,37.1564,37.4575,1.5
9,-82,0,10.1.5.2,37.4782,34.4748,1.5
10,-82,0,10.1.6.1,29.3841,17.1288,1.5
11,-82,0,10.1.6.2,32.3522,17.5649,1.5
12,-82,0,10.1.7.1,41.7189,29.663,1.5
13,-82,0,10.1.7.2,43.752,31.8691,1.5
14,-82,0,10.1.8.1,24.3213,38.1229,1.5
15,-82,0,10.1.8.2,25.9344,35.5935,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,43.0744,38.7013,1.5
1,-82,0,10.1.1.2,40.5933,37.0149,1.5
2,-82,0,10.1.2.1,15.7642,5.29052,1.5
3,-82,0,10.1.2.2,13.6735,3.13908,1.5
4,-82,0,10.1.3.1,22.5771,24.4978,1.5
5,-82,0,10.1.3.2,22.4683,27.4959,1.5
6,-82,0,10.1.4.1,42.9942,25.9145,1.5
7,-82,0,10.1.4.2,45.6818,24.5814,1.5
8,-82,0,10.1.5.1,4.34358,16.8706,1.5
9,-82,0,10.1.5.2,2.67802,19.3658,1.5
10,-82,0,10.1.6.1,41.243,22.1457,1.5
11,-82,0,10.1.6.2,40.8166,25.1153,1.5
12,-82,0,10.1.7.1,15.4676,16.4983,1.5
13,-82,0,10.1.7.2,12.604,17.3926,1.5
14,-82,0,10.1.8.1,33.8037,32.9598,1.5
15,-82,0,10.1.8.2,35.6544,35.321,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,11.072,41.8282,1.5
1,-82,0,10.1.1.2,13.3951,39.9299,1.5
2,-82,0,10.1.2.1,24.2925,18.5588,1.5
3,-82,0,10.1.2.2,27.2107,19.2544,1.5
4,-82,0,10.1.3.1,4.00222,41.8323,1.5
5,-82,0,10.1.3.2,6.89613,42.6231,1.5
6,-82,0,10.1.4.1,38.1849,15.4937,1.5
7,-82,0,10.1.4.2,36.7268,18.1155,1.5
8,-82,0,10.1.5.1,15.0919,40.6454,1.5
9,-82,0,10.1.5.2,17.5908,38.9854,1.5
10,-82,0,10.1.6.1,34.1542,39.9989,1.5
11,-82,0,10.1.6.2,37.1359,40.3294,1.5
12,-82,0,10.1.7.1,6.54984,35.3664,1.5
13,-82,0,10.1.7.2,8.68404,37.4748,1.5
14,-82,0,10.1.8.1,40.2795,45.3763,1.5
15,-82,0,10.1.8.2,43.1954,44.671,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,18.2484,5.50078,1.5
1,-82,0,10.1.1.2,21.2475,5.42352,1.5
2,-82,0,10.1.2.1,31.37,25.6368,1.5
3,-82,0,10.1.2.2,28.6902,26.9852,1.5
4,-82,0,10.1.3.1,23.5953,26.5844,1.5
5,-82,0,10.1.3.2,25.376,24.17,1.5
6,-82,0,10.1.4.1,18.9997,26.3352,1.5
7,-82,0,10.1.4.2,20.9501,28.6146,1.5
8,-82,0,10.1.5.1,42.7869,20.4622,1.5
9,-82,0,10.1.5.2,43.3928,17.524,1.5
10,-82,0,10.1.6.1,10.8506,34.8104,1.5
11,-82,0,10.1.6.2,11.1577,31.8262,1.5
12,-82,0,10.1.7.1,36.9884,14.4597,1.5
13,-82,0,10.1.7.2,34.251,15.6873,1.5
14,-82,0,10.1.8.1,18.03,5.37511,1.5
15,-82,0,10.1.8.2,16.2902,7.81911,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,23.4281,20.6959,1.5
1,-82,0,10.1.1.2,23.8885,23.6603,1.5
2,-82,0,10.1.2.1,14.1468,27.0261,1.5
3,-82,0,10.1.2.2,14.2276,30.025,1.5
4,-82,0,10.1.3.1,42.2202,29.8955,1.5
5,-82,0,10.1.3.2,44.6312,28.1103,1.5
6,-82,0,10.1.4.1,24.1773,13.8295,1.5
7,-82,0,10.1.4.2,25.4436,16.5492,1.5
8,-82,0,10.1.5.1,33.8074,6.75453,1.5
