Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
6,0,16.2001,0,16.3479,6.33074,4.0499,40.7998,8.82834,0.313212,0,0.183884,0,0,8.33124,321008,484080064,205233,309491364,80571,121501068,4761,2585,0,0,0,0
7,0,0,0,0,1.79732,9.30951,0.515676,48.3809,25.4949,0,0.35902,6.65388,0,15.8732,0,0,0,0,0,0,0,0,80571,121501068,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,57.2189,29.6394,53.9068,28.0036,3.00727,2.09073,51.1507,3.81986,0.28488,0,0.114844,0,0,3.42014,320992,484055936,264059,398200972,147411,222295788,6000,3432,0,0,0,0
1,0,0,0,0,1.72977,5.46772,0.49358,52.3721,32.1029,0,0.279468,14.9914,0,4.99834,0,0,0,0,0,0,0,0,147411,222295788,0,0
2,0,0.26762,0,0.199056,3.96422,15.5763,26.4737,14.0171,0.2313,0,0.06106,0,0,13.7247,320998,484064984,133118,200741944,1331,2007148,279,4477,0,0,0,0
3,0,0,0,0,0.256906,28.8143,0.332064,30.6228,1.65514,0,0.180448,22.6342,0,6.15295,0,0,0,0,0,0,0,0,1331,2007148,0,0
4,0,13.6259,0,12.4096,2.35154,2.78694,28.8644,26.0282,0.199872,0,12.3304,0,0,13.498,321003,484072524,148349,223710292,67768,102194144,3260,2039,0,0,0,0
5,0,0,0,0,1.1376,8.02546,0.332188,50.5306,17.4769,0,17.093,6.68162,0,9.27904,0,0,0,0,0,0,0,0,67768,102194144,0,0
6,0,13.686,0,13.2945,2.27223,2.98895,28.719,26.0456,0.191724,0,17.2997,0,0,8.55419,321008,484080064,147679,222699932,68067,102645036,3117,2159,0,0,0,0
7,0,0,0,0,1.1378,8.03087,0.318432,50.5387,16.7101,0,24.6667,7.52452,0,1.63738,0,0,0,0,0,0,0,0,68067,102645036,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,173.209,60.2158,173.263,60.7133,1.51253,0.657932,57.5379,0.369448,0.135652,0,0.006572,0,0,0.227224,320992,484055936,299742,452010936,299482,451618856,10713,2,0,0,0,0
1,0,0,0,0,2.15846,0.461286,0.352872,57.1212,56.9832,0,0.13806,0,0,0,0,0,0,0,0,0,0,0,299482,451618856,0,0
2,0,13.0277,0,12.961,1.53501,2.55597,19.3752,36.6049,0.202652,0,0.280524,0,0,36.1217,320998,484064984,99375,149857500,64793,97707844,3200,355,0,0,0,0
3,0,0,0,0,0.213238,4.71934,0.33516,54.8033,17.1338,0,0.353336,1.12356,0,36.1926,0,0,0,0,0,0,0,0,64793,97707844,0,0
4,0,39.1807,0,38.8419,1.6158,0.718736,40.328,17.4138,0.128952,0,1.62118,0,0,15.6637,321003,484072524,209589,316060212,194864,293854912,6978,510,0,0,0,0
5,0,0,0,0,0.228346,4.06748,0.287352,55.4879,37.1703,0,0.548128,0.894624,0,16.8748,0,0,0,0,0,0,0,0,194864,293854912,0,0
6,0,60.7847,0,60.7465,1.5184,0.174908,58.2388,0.13522,0.13522,0,0,0,0,0,321008,484080064,303413,457546804,302311,455884988,10813,35,0,0,0,0
7,0,0,0,0,1.46351,0.599004,0.35376,57.6457,57.5043,0,0.13962,0,0,0.001824,0,0,0,0,0,0,0,0,302311,455884988,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,77.0819,11.427,75.4718,11.8698,11.5147,2.58748,40.5907,5.31804,0.348,0,0.106948,0,0,4.8631,320992,484055936,197192,297365536,56832,85702656,3100,3945,0,0,0,0
1,0,0,0,0,1.24782,11.8896,0.540756,46.3273,16.7374,0,0.3889,10.5081,0,18.693,0,0,0,0,0,0,0,0,56833,85704164,0,0
2,0,2.07702,0,1.21545,7.12478,7.25431,30.3297,15.3022,0.260664,0,0.37634,0,0,14.6652,320998,484064984,149506,225455048,10330,15577640,1126,4218,0,0,0,0
3,0,0,0,0,1.25458,13.2254,0.388544,45.137,6.1767,0,2.99564,15.7406,0,20.2241,0,0,0,0,0,0,0,0,10330,15577640,0,0
4,0,61.0378,0,61.039,1.44831,0.173648,58.2678,0.130232,0.130232,0,0,0,0,0,321003,484072524,303598,457825784,303570,457783560,10853,0,0,0,0,0
