Node,CST,Tx power,IP address,x,y,z
10,-82,0,10.1.6.1,9.72281,39.485,1.5
11,-82,0,10.1.6.2,10.2863,40.3112,1.5
12,-82,0,10.1.7.1,26.1413,49.3705,1.5
13,-82,0,10.1.7.2,26.2081,48.3727,1.5
14,-82,0,10.1.8.1,53.3749,86.3181,1.5
15,-82,0,10.1.8.2,54.3677,86.4376,1.5
16,-82,0,10.1.9.1,15.6926,54.9598,1.5
17,-82,0,10.1.9.2,16.6135,55.3497,1.5
18,-82,0,10.1.10.1,69.3933,1.98149,1.5
19,-82,0,10.1.10.2,69.2326,2.9685,1.5
20,-82,0,10.1.11.1,20.1605,28.3158,1.5
21,-82,0,10.1.11.2,20.1769,29.3156,1.5
22,-82,0,10.1.12.1,58.2115,12.6129,1.5
23,-82,0,10.1.12.2,59.1902,12.8179,1.5
24,-82,0,10.1.13.1,71.195,67.9828,1.5
25,-82,0,10.1.13.2,72.0876,68.4338,1.5
26,-82,0,10.1.14.1,76.0184,42.8161,1.5
27,-82,0,10.1.14.2,76.042,43.8158,1.5
28,-82,0,10.1.15.1,7.26584,28.6665,1.5
29,-82,0,10.1.15.2,7.27514,27.6665,1.5
30,-82,0,10.1.16.1,87.8542,65.6168,1.5
31,-82,0,10.1.16.2,86.8792,65.3946,1.5
32,-82,0,10.1.17.1,64.9786,83.3604,1.5
33,-82,0,10.1.17.2,64.0147,83.6266,1.5
34,-82,0,10.1.18.1,46.0733,77.9217,1.5
35,-82,0,10.1.18.2,46.2376,76.9353,1.5
36,-82,0,10.1.19.1,39.402,41.9916,1.5
37,-82,0,10.1.19.2,40.1211,42.6864,1.5
38,-82,0,10.1.20.1,76.1702,97.2962,1.5
39,-82,0,10.1.20.2,75.9884,98.2796,1.5
40,-82,0,10.1.21.1,97.8379,32.4618,1.5
41,-82,0,10.1.21.2,98.7108,31.9739,1.5
42,-82,0,10.1.22.1,24.6336,63.7644,1.5
43,-82,0,10.1.22.2,24.5231,64.7582,1.5
44,-82,0,10.1.23.1,10.7049,41.0966,1.5
45,-82,0,10.1.23.2,11.4528,41.7605,1.5
46,-82,0,10.1.24.1,16.8882,34.4966,1.5
47,-82,0,10.1.24.2,15.8968,34.3656,1.5
48,-82,0,10.1.25.1,57.3184,74.7326,1.5
49,-82,0,10.1.25.2,56.4221,75.176,1.5
50,-82,0,10.1.26.1,64.7511,43.3944,1.5
51,-82,0,10.1.26.2,63.9371,42.8136,1.5
52,-82,0,10.1.27.1,32.923,4.46916,1.5
53,-82,0,10.1.27.2,33.8827,4.18828,1.5
54,-82,0,10.1.28.1,75.3812,41.2164,1.5
55,-82,0,10.1.28.2,75.5219,40.2263,1.5
56,-82,0,10.1.29.1,29.2261,21.3584,1.5
57,-82,0,10.1.29.2,29.8396,20.5688,1.5
58,-82,0,10.1.30.1,13.9659,7.32936,1.5
59,-82,0,10.1.30.2,14.5278,6.50216,1.5
60,-82,0,10.1.31.1,50.9045,85.6096,1.5
61,-82,0,10.1.31.2,51.0927,84.6275,1.5
62,-82,0,10.1.32.1,90.5642,63.4492,1.5
63,-82,0,10.1.32.2,90.2606,64.402,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,75.2567,16.7598,1.5
1,-82,0,10.1.1.2,74.7117,15.9214,1.5
2,-82,0,10.1.2.1,45.5749,5.44495,1.5
3,-82,0,10.1.2.2,46.3261,4.78493,1.5
4,-82,0,10.1.3.1,4.91454,81.302,1.5
5,-82,0,10.1.3.2,4.33336,80.4883,1.5
6,-82,0,10.1.4.1,66.3756,91.7176,1.5
7,-82,0,10.1.4.2,67.3747,91.7583,1.5
8,-82,0,10.1.5.1,47.0942,31.3173,1.5
9,-82,0,10.1.5.2,46.8518,30.3471,1.5
10,-82,0,10.1.6.1,34.1267,3.07164,1.5
11,-82,0,10.1.6.2,35.038,2.66009,1.5
12,-82,0,10.1.7.1,2.84445,18.5731,1.5
13,-82,0,10.1.7.2,3.80127,18.8638,1.5
14,-82,0,10.1.8.1,60.5871,69.4466,1.5
15,-82,0,10.1.8.2,60.8953,70.3979,1.5
16,-82,0,10.1.9.1,67.2695,93.7481,1.5
17,-82,0,10.1.9.2,67.0903,92.7643,1.5
18,-82,0,10.1.10.1,95.822,77.5442,1.5
19,-82,0,10.1.10.2,95.0849,76.8684,1.5
20,-82,0,10.1.11.1,45.9955,24.8732,1.5
21,-82,0,10.1.11.2,46.9523,25.1639,1.5
22,-82,0,10.1.12.1,87.8694,16.9716,1.5
23,-82,0,10.1.12.2,88.7514,17.4428,1.5
24,-82,0,10.1.13.1,30.3128,81.0838,1.5
25,-82,0,10.1.13.2,30.8671,81.9161,1.5
26,-82,0,10.1.14.1,57.0104,18.1051,1.5
27,-82,0,10.1.14.2,56.6142,19.0232,1.5
28,-82,0,10.1.15.1,12.263,47.995,1.5
29,-82,0,10.1.15.2,11.2837,47.7924,1.5
30,-82,0,10.1.16.1,28.9513,97.1704,1.5
31,-82,0,10.1.16.2,28.3937,98.0006,1.5
32,-82,0,10.1.17.1,88.5978,27.3177,1.5
33,-82,0,10.1.17.2,87.64,27.03,1.5
34,-82,0,10.1.18.1,28.1335,36.51,1.5
35,-82,0,10.1.18.2,28.6777,35.671,1.5
36,-82,0,10.1.19.1,55.926,52.5789,1.5
37,-82,0,10.1.19.2,55.2947,51.8033,1.5
38,-82,0,10.1.20.1,79.0898,87.6,1.5
39,-82,0,10.1.20.2,79.0849,86.6,1.5
40,-82,0,10.1.21.1,1.23036,49.2246,1.5
41,-82,0,10.1.21.2,1.64813,50.1332,1.5
42,-82,0,10.1.22.1,7.44688,13.9651,1.5
43,-82,0,10.1.22.2,8.43257,14.1337,1.5
44,-82,0,10.1.23.1,40.4302,55.5225,1.5
45,-82,0,10.1.23.2,41.4298,55.5525,1.5
46,-82,0,10.1.24.1,48.3943,65.8928,1.5
47,-82,0,10.1.24.2,48.068,64.9476,1.5
48,-82,0,10.1.25.1,39.5834,19.5999,1.5
49,-82,0,10.1.25.2,40.3194,20.2768,1.5
50,-82,0,10.1.26.1,1.12244,92.0205,1.5
51,-82,0,10.1.26.2,2.06179,91.6776,1.5
52,-82,0,10.1.27.1,80.2192,22.7776,1.5
53,-82,0,10.1.27.2,79.3027,22.3776,1.5
54,-82,0,10.1.28.1,20.3883,81.8296,1.5
55,-82,0,10.1.28.2,19.9749,82.7401,1.5
56,-82,0,10.1.29.1,81.4074,1.33463,1.5
57,-82,0,10.1.29.2,82.3597,1.64003,1.5
58,-82,0,10.1.30.1,25.5722,21.5878,1.5
59,-82,0,10.1.30.2,24.9977,20.7693,1.5
60,-82,0,10.1.31.1,94.5085,82.043,1.5
61,-82,0,10.1.31.2,93.9732,82.8877,1.5
62,-82,0,10.1.32.1,96.2116,57.8714,1.5
63,-82,0,10.1.32.2,97.2089,57.9448,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,91.7562,3.23887,1.5
1,-82,0,10.1.1.2,91.9178,4.22572,1.5
2,-82,0,10.1.2.1,89.5677,62.6937,1.5
3,-82,0,10.1.2.2,89.1536,61.7834,1.5
4,-82,0,10.1.3.1,34.3141,62.5816,1.5
5,-82,0,10.1.3.2,33.9866,61.6368,1.5
6,-82,0,10.1.4.1,11.9627,96.733,1.5
7,-82,0,10.1.4.2,10.9895,96.503,1.5
8,-82,0,10.1.5.1,46.2582,26.2631,1.5
9,-82,0,10.1.5.2,45.3692,25.8053,1.5
10,-82,0,10.1.6.1,87.7004,63.8401,1.5
11,-82,0,10.1.6.2,87.0827,63.0537,1.5
12,-82,0,10.1.7.1,16.9258,84.2808,1.5
13,-82,0,10.1.7.2,17.0077,85.2775,1.5
14,-82,0,10.1.8.1,7.93996,15.5041,1.5
15,-82,0,10.1.8.2,8.51327,16.3235,1.5
16,-82,0,10.1.9.1,36.7241,14.7195,1.5
17,-82,0,10.1.9.2,36.8533,15.7111,1.5
18,-82,0,10.1.10.1,94.1905,80.8196,1.5
19,-82,0,10.1.10.2,93.2,80.9566,1.5
20,-82,0,10.1.11.1,24.3881,22.2082,1.5
21,-82,0,10.1.11.2,24.0454,21.2688,1.5
22,-82,0,10.1.12.1,64.9924,51.9729,1.5
23,-82,0,10.1.12.2,65.8082,51.3947,1.5
24,-82,0,10.1.13.1,90.3324,12.7179,1.5
25,-82,0,10.1.13.2,90.3808,11.7191,1.5
26,-82,0,10.1.14.1,3.13502,47.7542,1.5
27,-82,0,10.1.14.2,3.62519,46.8825,1.5
28,-82,0,10.1.15.1,67.222,90.1316,1.5
29,-82,0,10.1.15.2,67.7349,90.99,1.5
30,-82,0,10.1.16.1,35.7471,95.0952,1.5
31,-82,0,10.1.16.2,36.0253,96.0557,1.5
32,-82,0,10.1.17.1,54.5588,66.0173,1.5
33,-82,0,10.1.17.2,55.3931,66.5687,1.5
34,-82,0,10.1.18.1,35.1117,82.7245,1.5
35,-82,0,10.1.18.2,36.1053,82.8375,1.5
36,-82,0,10.1.19.1,24.507,48.1308,1.5
37,-82,0,10.1.19.2,24.8064,49.085,1.5
38,-82,0,10.1.20.1,54.2395,19.3132,1.5
39,-82,0,10.1.20.2,54.7496,20.1733,1.5
40,-82,0,10.1.21.1,16.3155,65.209,1.5
41,-82,0,10.1.21.2,15.4631,65.7317,1.5
42,-82,0,10.1.22.1,2.34737,88.4256,1.5
43,-82,0,10.1.22.2,1.47242,87.9414,1.5
44,-82,0,10.1.23.1,58.3844,96.1282,1.5
45,-82,0,10.1.23.2,57.4166,96.3802,1.5
46,-82,0,10.1.24.1,63.7305,45.1048,1.5
47,-82,0,10.1.24.2,62.7737,45.3957,1.5
48,-82,0,10.1.25.1,1.31628,66.0357,1.5
49,-82,0,10.1.25.2,2.20347,66.4971,1.5
