Node,CST,Tx power,IP address,x,y,z
36,-82,23,10.1.19.1,85.2419,15.1053,1.5
37,-82,15,10.1.19.2,83.348,12.7786,1.5
38,-82,23,10.1.20.1,96.1873,16.5347,1.5
39,-82,15,10.1.20.2,96.1726,13.5347,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,23,10.1.1.1,6.70433,3.09138,1.5
1,-82,15,10.1.1.2,7.18928,6.05193,1.5
2,-82,23,10.1.2.1,16.615,5.51811,1.5
3,-82,15,10.1.2.2,15.3728,2.78739,1.5
4,-82,23,10.1.3.1,24.3598,5.51354,1.5
5,-82,15,10.1.3.2,23.3774,2.67894,1.5
6,-82,23,10.1.4.1,33.4475,6.90747,1.5
7,-82,15,10.1.4.2,30.5279,6.21746,1.5
8,-82,23,10.1.5.1,44.8473,4.03115,1.5
9,-82,15,10.1.5.2,42.1802,2.65764,1.5
10,-82,23,10.1.6.1,56.5388,5.5649,1.5
11,-82,15,10.1.6.2,54.6859,3.20551,1.5
12,-82,23,10.1.7.1,63.65,6.39922,1.5
13,-82,15,10.1.7.2,63.8956,9.38915,1.5
14,-82,23,10.1.8.1,73.2833,3.59201,1.5
15,-82,15,10.1.8.2,75.0032,6.05003,1.5
16,-82,23,10.1.9.1,84.4581,3.55998,1.5
17,-82,15,10.1.9.2,84.8458,6.53483,1.5
18,-82,23,10.1.10.1,96.8037,6.25794,1.5
19,-82,15,10.1.10.2,93.832,6.66905,1.5
20,-82,23,10.1.11.1,3.95462,13.8656,1.5
21,-82,15,10.1.11.2,2.92662,11.0473,1.5
22,-82,23,10.1.12.1,15.6119,15.0805,1.5
23,-82,15,10.1.12.2,18.0596,13.3458,1.5
24,-82,23,10.1.13.1,26.6462,13.4783,1.5
25,-82,15,10.1.13.2,26.7916,10.4818,1.5
26,-82,23,10.1.14.1,33.0871,14.9083,1.5
27,-82,15,10.1.14.2,34.5577,12.2935,1.5
28,-82,23,10.1.15.1,45.7029,16.638,1.5
29,-82,15,10.1.15.2,47.2418,19.2133,1.5
30,-82,23,10.1.16.1,54.4182,16.8406,1.5
31,-82,15,10.1.16.2,55.2529,19.7222,1.5
32,-82,23,10.1.17.1,65.1861,15.6538,1.5
33,-82,15,10.1.17.2,67.6888,17.308,1.5
34,-82,23,10.1.18.1,74.3923,16.3357,1.5
35,-82,15,10.1.18.2,77.3731,16.6746,1.5
36,-82,23,10.1.19.1,83.9595,14.9237,1.5
37,-82,15,10.1.19.2,84.8575,17.7861,1.5
38,-82,23,10.1.20.1,95.173,13.7475,1.5
39,-82,15,10.1.20.2,96.7033,16.3278,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,23,10.1.1.1,3.27641,6.96709,1.5
1,-82,15,10.1.1.2,1.25228,9.18134,1.5
2,-82,23,10.1.2.1,14.316,3.82179,1.5
3,-82,15,10.1.2.2,13.9303,6.7969,1.5
4,-82,23,10.1.3.1,26.5713,5.15625,1.5
5,-82,15,10.1.3.2,25.4759,2.3634,1.5
6,-82,23,10.1.4.1,33.9061,3.86372,1.5
7,-82,15,10.1.4.2,32.61,6.5693,1.5
8,-82,23,10.1.5.1,43.77,5.07968,1.5
9,-82,15,10.1.5.2,45.9562,7.13411,1.5
10,-82,23,10.1.6.1,56.3979,6.19663,1.5
11,-82,15,10.1.6.2,58.11,8.66014,1.5
12,-82,23,10.1.7.1,66.1536,6.90354,1.5
13,-82,15,10.1.7.2,64.5242,4.38457,1.5
14,-82,23,10.1.8.1,75.8403,3.15041,1.5
15,-82,15,10.1.8.2,74.4064,5.7855,1.5
16,-82,23,10.1.9.1,84.6059,6.13877,1.5
17,-82,15,10.1.9.2,81.7196,6.95688,1.5
18,-82,23,10.1.10.1,93.2147,4.16099,1.5
19,-82,15,10.1.10.2,90.7392,5.85578,1.5
20,-82,23,10.1.11.1,5.44827,15.7871,1.5
21,-82,15,10.1.11.2,5.40054,12.7875,1.5
22,-82,23,10.1.12.1,16.9006,16.5055,1.5
23,-82,15,10.1.12.2,17.5145,19.442,1.5
24,-82,23,10.1.13.1,25.0229,14.9889,1.5
25,-82,15,10.1.13.2,22.6816,13.1132,1.5
26,-82,23,10.1.14.1,34.1493,16.3009,1.5
27,-82,15,10.1.14.2,31.701,18.0346,1.5
28,-82,23,10.1.15.1,46.151,15.884,1.5
29,-82,15,10.1.15.2,45.5981,18.8326,1.5
30,-82,23,10.1.16.1,54.3815,15.1168,1.5
31,-82,15,10.1.16.2,53.4599,12.2619,1.5
32,-82,23,10.1.17.1,66.9728,16.4767,1.5
33,-82,15,10.1.17.2,67.4619,13.5168,1.5
34,-82,23,10.1.18.1,74.9573,14.2281,1.5
35,-82,15,10.1.18.2,74.0762,11.3604,1.5
36,-82,23,10.1.19.1,83.8677,13.0018,1.5
37,-82,15,10.1.19.2,80.8816,12.7129,1.5
