Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
2,0,29.4019,0,29.7655,2.13398,1.01054,48.026,48.879,0.132572,0,47.6914,4.8e-05,0,1.05498,534996,806773968,249350,376019800,243716,367523728,8728,178,0,0,0,0
3,0,0,0,0,1.9747,1.38351,0.31886,96.3672,46.5013,0,47.9595,0.489808,0,1.41652,0,0,0,0,0,0,0,0,243775,367612700,0,0
4,0,60.7909,0,60.8194,2.35667,0.711247,96.7171,0.2161,0.2161,0,0,0,0,0,535005,806787540,503931,759927948,503903,759885724,18009,0,0,0,0,0
5,0,0,0,0,2.34341,1.03221,0.57628,96.0439,95.8136,0,0.230336,0,0,0,0,0,0,0,0,0,0,0,503903,759885724,0,0
6,0,34.4804,0,34.7407,2.1959,0.628902,56.0333,41.1862,0.132576,0,40.4863,9.6e-05,0,0.567244,535013,806799604,291285,439257780,285812,431004496,10216,190,0,0,0,0
7,0,0,0,0,1.97055,1.02739,0.341344,96.705,54.4296,0,40.6748,0.537724,0,1.06284,0,0,0,0,0,0,0,0,286039,431346812,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,212.273,53.3865,227.537,59.519,4.39675,2.45285,91.0991,2.13583,0.239956,0,0.01118,0,0,1.8847,534988,806761904,471871,711581468,442527,667330716,15809,1047,0,0,0,0
1,0,0,0,0,1.8244,5.07853,0.577172,92.5991,84.197,0,0.232192,0,0,8.16984,0,0,0,0,0,0,0,0,442611,667457388,0,0
2,0,52.198,0,55.3134,3.94059,3.55961,88.3102,4.2534,0.228628,0,0.017128,0,0,4.00764,534996,806773968,457827,690403116,432676,652475408,15457,899,0,0,0,0
3,0,0,0,0,1.96591,5.67966,0.555944,91.8569,82.3186,0,0.238952,0,0,9.29933,0,0,0,0,0,0,0,0,432760,652602080,0,0
4,0,53.9498,0,57.0531,3.6935,3.20702,89.8747,3.22765,0.224312,0,0.01638,0,0,2.98696,535005,806787540,466214,703050712,447197,674373076,15977,679,0,0,0,0
5,0,0,0,0,1.53832,5.54215,0.557464,92.3596,85.0611,0,0.244436,0,0,7.0541,0,0,0,0,0,0,0,0,447225,674415300,0,0
6,0,52.7387,0,55.6512,3.60296,3.43871,88.8292,4.13789,0.228044,0,0.018,0,0,3.89184,535013,806799604,460867,694987436,437158,659234264,15620,846,0,0,0,0
7,0,0,0,0,1.91599,5.55658,0.557556,91.9733,83.1849,0,0.241752,0,0,8.54665,0,0,0,0,0,0,0,0,437326,659487608,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,174.369,55.8692,181.715,60.3025,3.27837,0.989697,90.434,5.38432,0.23614,0,0.024404,0,0,5.12378,534988,806761904,469794,708449352,463107,698365356,16563,218,0,0,0,0
1,0,0,0,0,0.212671,4.14489,0.583112,95.1404,88.2008,0,0.242648,0,0,6.69696,0,0,0,0,0,0,0,0,463135,698407580,0,0
2,0,58.8126,0,60.7519,2.98659,0.941842,95.3043,0.8383,0.226776,0,0.004116,0,0,0.607408,534996,806773968,495880,747787040,487505,735157540,17446,266,0,0,0,0
3,0,0,0,0,0.166936,4.18036,0.583056,95.1354,92.8947,0,0.23344,0.026812,0,1.98044,0,0,0,0,0,0,0,0,487533,735199764,0,0
4,0,40.9973,0,36.0249,2.5893,1.22919,67.8991,28.3153,0.168656,0,1.92202,8.4e-05,0,26.2245,535005,806787540,352980,532293840,339832,512466656,12147,462,0,0,0,0
5,0,0,0,0,0.110948,5.68939,0.421488,93.8057,64.7274,0,2.63619,0.170368,0,26.2717,0,0,0,0,0,0,0,0,340033,512769764,0,0
6,0,18.6895,0,24.6353,1.76671,2.39442,32.636,63.2303,0.091848,0,3.70103,6e-05,0,59.4374,535013,806799604,168788,254532304,154920,233619360,5538,492,0,0,0,0
7,0,0,0,0,0.186554,5.624,0.213476,94.0035,29.5513,0,3.92084,0.351576,0,60.1798,0,0,0,0,0,0,0,0,155141,233952628,0,0
