Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,225.203,61.029,227.348,61.0209,1.50703,0.173664,58.2601,0.130312,0.130312,0,0,0,0,0,320992,484055936,303557,457763956,303526,457717208,10852,0,0,0,0,0
1,0,0,0,0,1.50004,0.36604,0.347392,57.8523,57.714,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,303526,457717208,0,0
2,0,59.9553,0,59.8815,1.68128,0.207496,57.8942,0.221128,0.221128,0,0,0,0,0,320998,484064984,301085,454036180,298186,449664488,10748,17,0,0,0,0
3,0,0,0,0,0.154219,2.00979,0.474488,57.3605,57.2225,0,0.13806,0,0,0,0,0,0,0,0,0,0,0,298186,449664488,0,0
4,0,48.8608,0,49.4015,2.67098,1.50012,55.245,0.643824,0.584688,0,0.000512,0,0,0.058624,321003,484072524,284978,429746824,243008,366456064,10157,32,0,0,0,0
5,0,0,0,0,0.326896,4.29764,0.980668,54.496,54.358,0,0.13806,0,0,0,0,0,0,0,0,0,0,0,243008,366456064,0,0
6,0,55.3581,0,57.0446,2.77931,0.374631,55.9224,0.983264,0.243128,0,0.00466,0,0,0.735476,321008,484080064,289579,436685132,275322,415185576,9921,422,0,0,0,0
7,0,0,0,0,0.340919,3.20838,0.493248,56.0117,52.9073,0,0.149624,0,0,2.95474,0,0,0,0,0,0,0,0,275322,415185576,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,179.514,61.0362,179.778,61.039,1.44466,0.173648,58.2663,0.130232,0.130232,0,0,0,0,0,320992,484055936,303590,457813720,303562,457771496,10853,0,0,0,0,0
1,0,0,0,0,1.447,0.356704,0.347292,57.8585,57.7202,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,303562,457771496,0,0
2,0,28.5663,0,28.5223,1.30057,0.482313,30.7299,27.5299,0.091592,0,27.4383,0,0,0,320998,484064984,159552,240604416,142074,214247592,5077,623,0,0,0,0
3,0,0,0,0,1.3055,0.591709,0.207408,57.9381,27.0446,0,27.5766,3.31685,0,0,0,0,0,0,0,0,0,0,142074,214247592,0,0
4,0,61.042,0,61.0559,1.4262,0.17368,58.2716,0.130252,0.130252,0,0,0,0,0,321003,484072524,303619,457857452,303591,457815228,10855,0,0,0,0,0
5,0,0,0,0,1.42854,0.356752,0.347352,57.8637,57.7257,0,0.13806,0,0,0,0,0,0,0,0,0,0,0,303591,457815228,0,0
6,0,28.8696,0,29.1611,1.30032,0.456109,31.025,27.2666,0.092676,0,27.174,0,0,0,321008,484080064,161092,242926736,143582,216521656,5131,624,0,0,0,0
7,0,0,0,0,1.30524,0.566695,0.209412,57.9614,27.3292,0,0.413692,3.3199,0,26.8986,0,0,0,0,0,0,0,0,143582,216521656,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,59.3957,16.5307,56.9107,14.6861,6.71653,2.93334,41.461,8.88997,0.298188,0,0.1314,0,0,8.46038,320992,484055936,208389,314250612,82215,123980220,4449,2997,0,0,0,0
1,0,0,0,0,1.79057,8.75479,0.489372,48.9642,23.8609,0,0.302316,7.71999,0,17.0811,0,0,0,0,0,0,0,0,82215,123980220,0,0
2,0,15.3299,0,15.3792,8.9219,2.11166,38.101,10.8732,0.25536,0,0.128668,0,0,10.4892,320998,484064984,187996,283497968,76243,114974444,3336,3379,0,0,0,0
3,0,0,0,0,1.82713,8.80103,0.4118,48.9625,17.9224,0,0.342916,7.61941,0,23.0778,0,0,0,0,0,0,0,0,76243,114974444,0,0
4,0,11.3211,0,12.4108,6.38261,4.4934,37.3245,11.8038,0.275712,0,0.16662,0,0,11.3615,321003,484072524,187064,282092512,56305,84907940,3088,3594,0,0,0,0
5,0,0,0,0,1.7953,9.35664,0.437116,48.4099,16.6133,0,0.361548,12.272,0,19.163,0,0,0,0,0,0,0,0,56305,84907940,0,0
6,0,16.214,0,14.4346,3.87225,6.0513,37.6648,12.4141,0.289512,0,0.272072,0,0,11.8526,321008,484080064,192077,289652116,80640,121605120,4798,2073,0,0,0,0
7,0,0,0,0,1.82529,8.86186,0.48272,48.8326,25.7028,0,0.419624,7.1431,0,15.5671,0,0,0,0,0,0,0,0,80642,121608136,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,51.958,26.9315,49.954,26.1143,2.67086,3.1766,48.4735,5.74926,0.275376,0,0.175912,0,0,5.29797,320992,484055936,250474,377714792,133943,201986044,5428,3519,0,0,0,0
1,0,0,0,0,1.85779,5.65779,0.471736,52.0775,29.0637,0,0.332084,16.2922,0,6.3896,0,0,0,0,0,0,0,0,133953,202001124,0,0
2,0,0.313463,0,0.207501,4.14426,14.0334,29.1583,12.6925,0.255024,0,0.061728,0,0,12.3757,320998,484064984,146966,221624728,1559,2350972,296,4955,0,0,0,0
3,0,0,0,0,0.257876,26.4897,0.366132,32.9087,1.76282,0,0.179676,24.8633,0,6.10297,0,0,0,0,0,0,0,0,1559,2350972,0,0
4,0,12.4766,0,12.0266,2.41602,2.45023,29.5664,25.5942,0.216792,0,11.3307,0,0,14.0467,321003,484072524,151957,229151156,62052,93574416,3238,2190,0,0,0,0
5,0,0,0,0,1.06283,7.50986,0.35576,51.0984,17.3726,0,16.1022,7.84225,0,9.78135,0,0,0,0,0,0,0,0,62052,93574416,0,0
6,0,12.2365,0,11.6056,2.29935,2.68061,27.9649,27.0874,0.197592,0,16.9258,0,0,9.96391,321008,484080064,143715,216722220,60858,91773864,2938,2198,0,0,0,0
7,0,0,0,0,1.06323,7.52202,0.323992,51.1176,15.7538,0,25.7369,8.01262,0,1.61433,0,0,0,0,0,0,0,0,60858,91773864,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,172.563,59.8539,172.796,60.2386,1.50357,0.925372,57.1848,0.464888,0.134932,0,0.007468,0,0,0.322488,320992,484055936,297898,449230184,297682,448904456,10641,0,0,0,0,0
1,0,0,0,0,2.48199,0.480291,0.350772,56.7816,56.6433,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,297682,448904456,0,0
2,0,13.2431,0,13.166,1.56123,2.56763,19.7598,36.1927,0.205968,0,0.281948,0,0,35.7047,320998,484064984,101366,152859928,65864,99322912,3224,407,0,0,0,0
3,0,0,0,0,0.24445,4.80762,0.340284,54.6836,17.2388,0,0.35566,1.30895,0,35.7802,0,0,0,0,0,0,0,0,65864,99322912,0,0
4,0,38.7731,0,38.7073,1.62511,0.734382,40.2099,17.5066,0.129252,0,2.47539,0,0,14.902,321003,484072524,208965,315119220,192837,290798196,6903,561,0,0,0,0
5,0,0,0,0,0.262275,4.21859,0.286652,55.3085,36.7864,0,0.556432,1.00643,0,16.9592,0,0,0,0,0,0,0,0,192837,290798196,0,0
6,0,60.6926,0,60.6843,1.5231,0.175211,58.2348,0.136036,0.136036,0,0,0,0,0,321008,484080064,303385,457504580,301853,455194324,10797,50,0,0,0,0
7,0,0,0,0,1.46207,0.68448,0.354676,57.5626,57.4199,0,0.14024,0,0,0.002496,0,0,0,0,0,0,0,0,301853,455194324,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,76.184,9.93812,74.3148,10.1205,10.806,2.95962,40.039,6.20579,0.346032,0,0.13472,0,0,5.72504,320992,484055936,195339,294571212,49427,74535916,2872,4108,0,0,0,0
1,0,0,0,0,1.25391,12.1667,0.53448,46.05,15.5189,0,0.419336,11.7453,0,18.3664,0,0,0,0,0,0,0,0,49428,74537424,0,0
