Action,CST,Tx pow,Repeat,Duration (ns),Tx ok bytes,Tx bytes,Mean,Std
3,-67,23,0,500000000,1140048,1393392,0.3221965263973005,0.19245008972987526
4,-62,23,0,155322537,1140048,1140048,0.393737829965494,0.1796053020267749
4,-62,23,0,500000000,2280096,2406768,0.3989727227790723,0.1767766952966369
3,-67,23,0,97467072,84448,126672,0.31449797329132895,0.1889822365046136
4,-62,23,0,500000000,1348152,1520064,0.396938785725161,0.17407765595569785
4,-62,23,0,159701545,968136,1013376,0.4072085789361505,0.17149858514250885
2,-72,23,0,500000000,1393392,1520064,0.11356691387304896,0.28867513459481287
3,-67,23,0,250710130,886704,1013376,0.31866337892248336,0.18569533817705186
2,-72,23,0,500000000,1097824,1224496,0.12561819742127597,0.2773500981126146
3,-67,23,0,500000000,672568,760032,0.3135597729584006,0.18257418583505536
3,-67,23,0,233211760,506688,548912,0.312070855274978,0.1796053020267749
4,-62,23,0,500000000,1307436,1520064,0.4047692023951176,0.1690308509457033
2,-72,23,0,500000000,464464,464464,0.12481186903404197,0.2672612419124244
3,-67,23,0,182276468,503672,548912,0.3129464528615,0.1767766952966369
4,-62,23,0,500000000,462956,633360,0.39669112455080874,0.16666666666666666
4,-62,23,0,500000000,401128,591136,0.38863836983321937,0.1643989873053573
4,-62,23,0,263622161,1253148,1308944,0.39380724215737734,0.16222142113076254
0,-82,23,0,500000000,84448,84448,0.01322821818181818,0.30151134457776363
4,-62,23,0,375618774,2364544,2448992,0.40357569838342483,0.16012815380508713
3,-67,23,0,500000000,1900080,2026752,0.3176363179263031,0.17407765595569785
4,-62,23,0,260153759,464464,506688,0.39897967263702205,0.15811388300841897
0,-82,23,0,500000000,0,0,0.012125866666666665,0.28867513459481287
4,-62,23,0,500000000,2363036,2491216,0.40343554403611903,0.15617376188860607
3,-67,23,0,8558342,84448,42224,0.33770583798729414,0.17149858514250885
3,-67,23,0,500000000,1900080,2026752,0.3414202997590858,0.1690308509457033
2,-72,23,0,396679440,380016,506688,0.12435153052766898,0.2581988897471611
2,-72,23,0,500000000,380016,422240,0.12242595986968967,0.25
2,-72,23,0,500000000,1815632,1942304,0.1415141269361785,0.24253562503633297
0,-82,23,0,500000000,42224,0,0.011992615384615383,0.2773500981126146
3,-67,23,0,81080083,126672,168896,0.33727762384776505,0.16666666666666666
4,-62,23,0,500000000,928928,1013376,0.3992742025114495,0.1543033499620919
4,-62,23,0,500000000,1096316,1308944,0.3962646257088577,0.15249857033260467
1,-77,23,0,500000000,0,0,0.04181053845987764,0.2672612419124244
3,-67,23,0,42324588,168896,211120,0.34143600377105354,0.1643989873053573
4,-62,23,0,357876933,2406768,2533440,0.40607015691356224,0.15075567228888181
3,-67,23,0,500000000,1773408,1942304,0.3439385089349732,0.16222142113076254
4,-62,23,0,412203783,422240,591136,0.3998480104034505,0.14907119849998599
2,-72,23,0,500000000,1096316,1266720,0.14864458655083526,0.23570226039551584
