Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,179.019,60.6005,179.098,60.6843,1.50984,0.593899,57.8677,0.129448,0.129448,0,0,0,0,0,320992,484055936,301507,454672556,301395,454503660,10776,3,0,0,0,0
1,0,0,0,0,1.47376,0.824873,0.34506,57.4519,57.3136,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,301423,454545884,0,0
2,0,27.867,0,28.1296,1.31175,0.578733,30.1038,28.086,0.090996,0,0.251452,0,0,27.7436,320998,484064984,156269,235653652,138596,209002768,4951,630,0,0,0,0
3,0,0,0,0,0.199539,3.28724,0.203176,56.3851,26.3828,0,0.389688,1.86892,0,27.7436,0,0,0,0,0,0,0,0,138596,209002768,0,0
4,0,29.5166,0,29.2449,1.34531,0.517808,31.6671,26.5448,0.094812,0,0.250544,0,0,26.1994,321003,484072524,164446,247984568,146800,221374400,5253,630,0,0,0,0
5,0,0,0,0,1.35028,0.63128,0.213112,57.8803,27.9431,0,0.38884,3.34899,0,26.1994,0,0,0,0,0,0,0,0,146800,221374400,0,0
6,0,61.0344,0,61.039,1.50132,0.173664,58.2646,0.13024,0.13024,0,0,0,0,0,321008,484080064,303581,457800148,303553,457757924,10854,0,0,0,0,0
7,0,0,0,0,1.50366,0.356736,0.34732,57.8568,57.7185,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,303553,457757924,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,200.158,56.6417,201.922,57.2051,2.73855,0.245493,56.6001,0.426724,0.140548,0,0.001956,0,0,0.28422,320992,484055936,293270,442251160,281706,424812648,10065,412,0,0,0,0
1,0,0,0,0,0.0462769,3.28464,0.350088,56.3246,53.5792,0,0.14674,0,0,2.59861,0,0,0,0,0,0,0,0,281706,424812648,0,0
2,0,29.8596,0,30.2378,6.70945,0.623629,51.3773,1.30023,0.543812,0,0.004032,0,0,0.752384,320998,484064984,259440,391235520,148506,223947048,8782,488,0,0,0,0
3,0,0,0,0,0.0462292,5.27585,0.902132,53.7811,47.0627,0,0.150916,0,0,6.56749,0,0,0,0,0,0,0,0,148506,223947048,0,0
4,0,61.0378,0,61.039,1.44816,0.173648,58.2678,0.130232,0.130232,0,0,0,0,0,321003,484072524,303598,457825784,303570,457783560,10853,0,0,0,0,0
5,0,0,0,0,1.4505,0.356704,0.347292,57.86,57.7217,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,303570,457783560,0,0
6,0,52.6185,0,53.4399,3.49972,0.277694,55.5976,0.634944,0.296776,0,0.003892,0,0,0.334276,321008,484080064,286709,432357172,261697,394639076,9484,758,0,0,0,0
7,0,0,0,0,0.0463363,5.84519,0.562728,53.5504,50.6173,0,0.174576,0,0,2.75846,0,0,0,0,0,0,0,0,261725,394681300,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,219.795,53.574,236.066,58.6576,2.4403,0.79133,52.9592,3.81141,0.128408,0,0.027192,0,0,3.65581,320992,484055936,274720,414277760,266449,401805092,9517,296,0,0,0,0
1,0,0,0,0,0.318605,3.1376,0.324732,56.2159,50.6847,0,0.166776,0,0,5.36449,0,0,0,0,0,0,0,0,266505,401889540,0,0
2,0,56.4261,0,58.8434,2.57308,0.412022,55.5719,1.50266,0.133304,0,0.008664,0,0,1.36069,320998,484064984,288166,434554328,280634,423196072,10033,268,0,0,0,0
3,0,0,0,0,0.232453,2.86214,0.339376,56.6204,53.3756,0,0.145992,0,0,3.09879,0,0,0,0,0,0,0,0,280662,423238296,0,0
4,0,53.1691,0,59.046,3.78631,0.349484,54.152,1.71906,0.138632,0,0.007548,0,0,1.57288,321003,484072524,279163,420977804,264435,398767980,9453,525,0,0,0,0
5,0,0,0,0,0.317081,3.4597,0.338192,55.8866,50.2993,0,0.139488,0,0,5.44773,0,0,0,0,0,0,0,0,264435,398767980,0,0
6,0,56.6254,0,59.519,2.77385,0.522096,55.8838,0.877672,0.134528,0,0.004336,0,0,0.738808,321008,484080064,289691,436854028,281625,424690500,10059,288,0,0,0,0
7,0,0,0,0,0.232035,2.7843,0.341468,56.6996,53.5647,0,0.142972,0,0,2.99193,0,0,0,0,0,0,0,0,281653,424732724,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,238.936,60.0148,241.994,60.7857,1.66392,0.296327,57.7351,0.337764,0.131824,0,0.000828,0,0,0.205112,320992,484055936,300750,453531000,298482,450110856,10662,80,0,0,0,0
1,0,0,0,0,0.0476264,2.30246,0.346684,57.331,56.7571,0,0.139296,0,0,0.434596,0,0,0,0,0,0,0,0,298482,450110856,0,0
2,0,60.1614,0,60.6843,1.56283,0.469985,57.7395,0.260888,0.130988,0,0.001264,0,0,0.128636,320998,484064984,300807,453616956,299211,451210188,10688,57,0,0,0,0
3,0,0,0,0,0.0484155,2.37459,0.34592,57.2589,56.8949,0,0.139492,0,0,0.224524,0,0,0,0,0,0,0,0,299211,451210188,0,0
4,0,58.6815,0,59.6372,2.19005,0.297074,56.9497,0.609636,0.132028,0,0.001632,0,0,0.475976,321003,484072524,295911,446233788,291851,440111308,10427,144,0,0,0,0
5,0,0,0,0,0.126005,2.30971,0.34348,57.2619,55.5039,0,0.137396,0,0,1.62064,0,0,0,0,0,0,0,0,291879,440153532,0,0
6,0,60.0781,0,60.887,1.62196,0.415146,57.7422,0.255116,0.131512,0,0.000912,0,0,0.122692,321008,484080064,300788,453588304,298797,450585876,10676,71,0,0,0,0
7,0,0,0,0,0.0453061,2.32079,0.346452,57.3165,56.8167,0,0.138056,0,0,0.361804,0,0,0,0,0,0,0,0,298797,450585876,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,234.528,56.5032,243.531,60.9546,2.46652,0.512781,55.3142,1.74016,0.130996,0,0.010436,0,0,1.59873,320992,484055936,287155,433029740,281017,423773636,10041,219,0,0,0,0
1,0,0,0,0,0.210713,2.60044,0.336228,56.8809,53.4466,0,0.14956,0,0,3.28476,0,0,0,0,0,0,0,0,281045,423815860,0,0
2,0,61.0461,0,61.0559,1.45838,0.17368,58.2756,0.130256,0.130256,0,0,0,0,0,320998,484064984,303639,457887612,303611,457845388,10855,0,0,0,0,0
3,0,0,0,0,1.46073,0.356768,0.347356,57.8678,57.7295,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,303611,457845388,0,0
4,0,60.3041,0,60.6674,1.5061,0.716991,57.7326,0.130816,0.130816,0,0,0,0,0,321003,484072524,300789,453589812,299921,452280868,10722,31,0,0,0,0
